ProjectUnit = FBOGR1T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FBOGR1T02:01,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B:FBOGR1T02:02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***
B:FBOGR1T02:03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***
B:FBOGR1T02:04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***
B:FBOGR1T02:05,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:06,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:07,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:08,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:11,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:12,0.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:13,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:14,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:30,1.40,***,***,***,0.00,-1.40,-100.00,0.93,-0.47,-33.69,***,***,***,0.21,-1.19,-84.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.14,0.00,0.14,100.00,0.00,0.14,100.00,0.23,-0.09,-65.16,0.00,0.14,100.00,0.03,0.11,81.02,0.00,0.14,100.00,0.00,0.14,100.00,0.00,0.14,100.00,0.00,0.14,100.00,0.00,0.14,100.00,0.00,0.14,100.00,0.00,0.14,100.00
