ProjectUnit = GBOGR2T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01PRE REPEAT-Attr,01PRE REPEAT-Diff,01PRE REPEAT-%Diff
B:GBOGR2T02:01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***
B:GBOGR2T02:02,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***
B:GBOGR2T02:03,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***
B:GBOGR2T02:04,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:05,10.83,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:06,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:07,1.03,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:08,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:09,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:10,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:11,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:12,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:13,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***
B:GBOGR2T02:14,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B:GBOGR2T02:15,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B:GBOGR2T02:16,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B:GBOGR2T02:17,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B_GBOGR2T02_18,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B_GBOGR2T02_19,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_20,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B_GBOGR2T02_21,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_22,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B_GBOGR2T02_23,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B_GBOGR2T02_24,0.57,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_25,2.85,***,***,***,***,***,***,***,***,***,5.23,2.37,83.23
B_GBOGR2T02_26,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B_GBOGR2T02_27,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B_GBOGR2T02_28,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
Mean,0.55,0.00,0.55,100.00,0.00,0.55,100.00,0.00,0.55,100.00,0.44,0.11,20.22
